realty_id,type,offer_type,square_meters,year_built,land_area,total_floors,floor,registered,heating_type,total_rooms,total_bathrooms,price,city,quarter,webpage
8414,stan,prodaja,60.0,,,,14,,Centralno,2,,189999.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/beograd-na-vodi-simfonija-1-60m2-xiv-cg-lux/NkNFWRRCXzr/
8415,stan,prodaja,70.0,1980,,,20,True,Centralno,3,,102000.0,Beograd,Novi Beograd Blok 33 (Genex kula),https://www.nekretnine.rs/stambeni-objekti/stanovi/geneks-70m2-xx-cg-uknj/NkyZx1kpl0k/
8416,stan,prodaja,139.0,,,,12,,Centralno,4,,442888.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/beograd-na-vodi-simfonija-2-139m2-xii-cg-lux/NkTIa_rEzDW/
8417,stan,prodaja,69.0,,,,14,,Centralno,3,,212888.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/beograd-na-vodi-simfonija-2-69m2-cg-xiv-lux/Nk306ldhiFy/
8418,stan,prodaja,92.0,,,,2,True,Centralno,4,,112000.0,Beograd,Braće Jerković,https://www.nekretnine.rs/stambeni-objekti/stanovi/brace-jerkovic-92m2-ii-cg-uknj/NkgcFwzWptJ/
8419,stan,prodaja,57.0,,,,3,,Centralno,2,,163888.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/beograd-na-vodi-simfonija-2-57m2-iii-cg-lux/NkBc88FI9vNa/
8420,stan,prodaja,110.0,,,,15,,Centralno,3,,358888.0,Beograd,Beograd na vodi,https://www.nekretnine.rs/stambeni-objekti/stanovi/beograd-na-vodi-simfonija-1-110m2-xv-cg-lux/Nklm7iLcXn6/
8421,stan,prodaja,37.0,,,,1,True,Samostalno,2,,78900.0,Beograd,Vukov spomenik,https://www.nekretnine.rs/stambeni-objekti/stanovi/deram-p-37m2-i-eg-uknj/NkYYBUGpWgp/
8422,stan,prodaja,50.0,,,,3,True,Centralno,3,,67500.0,Beograd,Mirijevo I,https://www.nekretnine.rs/stambeni-objekti/stanovi/mirijevo-50m2-iii-cg-uknj/NkSX-iUWYZE/
8423,stan,prodaja,65.0,,,,15,True,Centralno,3,,71000.0,Beograd,Konjarnik,https://www.nekretnine.rs/stambeni-objekti/stanovi/rudo-65m2-xv-cg-uknj/Nkq8cGQrGsE/
