realty_id,type,offer_type,square_meters,year_built,land_area,total_floors,floor,registered,heating_type,total_rooms,total_bathrooms,price,city,quarter,webpage
18991,kuca,prodaja,100.0,,,,1,True,"Samostalno, Klima",5,,80000.0,Kragujevac,Palilule,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-u-palilulama/Nk8ejh79lsX/
18992,kuca,prodaja,47.0,,,,,True,Samostalno,2,,30000.0,Deč,,https://www.nekretnine.rs/stambeni-objekti/kuce/dec-ivana-petrovica/124238/
18993,kuca,prodaja,203.0,,,,,,Samostalno,4,,130000.0,Beograd,Zemun Polje,https://www.nekretnine.rs/stambeni-objekti/kuce/zemun-polje-elija-fincija/124234/
18994,kuca,prodaja,55.0,,,,,,,2,,30000.0,Kragujevac,,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-useljiva-na-glavnom-putu-novija-gradnja-moze-i-zamena-za-stan/NkWHhs6_MZp/
18995,kuca,prodaja,156.0,,,,1,,Samostalno,5,,62000.0,Kragujevac,Ilićevo,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-u-ilicevu/NknKVtfHWTK/
18996,kuca,prodaja,85.0,,,,,,,3,,53000.0,Kragujevac,Pivara,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-kragujevac-pivara/NkYgFc-IkHb/
18997,kuca,prodaja,75.0,,,,,,Centralno,2,,190000.0,Pančevo,Centar,https://www.nekretnine.rs/stambeni-objekti/kuce/pancevo-dve-kuce-sa-lokalom-i-placem-pogodnim-za-izgradnju/NkEFKbf3VXi/
18998,kuca,prodaja,164.0,,,,1,True,Samostalno,5,,50000.0,Kragujevac,Ilićevo,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-u-ilicevu/NkrEI8WWWI3/
18999,kuca,prodaja,350.0,,,,,,Samostalno,5,,75000.0,Kragujevac,Petrovac,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-u-petrovcu/NkBeOvuDl1n/
19000,kuca,prodaja,900.0,,,,,True,Samostalno,7,,4600000.0,Beograd,Dedinje (RTV Pink),https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje-vajara-doke-jovanovica/204558/
19001,kuca,prodaja,390.0,2005,,,,True,"Centralno, Klima",8,,180000.0,Kragujevac,Palilule,https://www.nekretnine.rs/stambeni-objekti/kuce/prodajem-kuca-samostalna-kuca-kragujevac-palilule/NkiJ57iD7JcH/
19002,kuca,prodaja,500.0,,,,,True,"Centralno, Samostalno, Klima",,,350000.0,Niš,Centar,https://www.nekretnine.rs/stambeni-objekti/kuce/salonska-kuca-u-centru-grada/1948383/
19003,kuca,prodaja,100.0,,,,1,True,Centralno,4,,45000.0,Kragujevac,Mala vaga,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-na-maloj-vagi/Nk5rYH-auVk/
19004,kuca,prodaja,80.0,,,,,,,2,,9500.0,Kovačica,,https://www.nekretnine.rs/stambeni-objekti/kuce/debeljaca-kuca-na-prodaju/NkdJziADDRc/
19005,kuca,prodaja,101.0,,,,,True,Samostalno,3,,143000.0,Beograd,Zemun (Centar),https://www.nekretnine.rs/stambeni-objekti/kuce/101m2-26-kuca-ugrinovacka/38910/
19006,kuca,prodaja,200.0,,,,,,,5,,50000.0,Kragujevac,Beloševac,https://www.nekretnine.rs/stambeni-objekti/kuce/prodajem-kuca-samostalna-kuca-kragujevac-belosevac/NkBV4c84_H9/
