countselling,countrenting,sellingpercentage,rentingpercentage,ratio,city
9228,5729,61.6968643444541,38.3031356555459,0.6208279150411791,Beograd
2240,452,83.20950965824666,16.790490341753344,0.2017857142857143,Novi Sad
764,23,97.07750952986022,2.9224904701397714,0.030104712041884817,Kragujevac
440,250,63.768115942028984,36.231884057971016,0.5681818181818182,Niš
375,1,99.73404255319149,0.26595744680851063,0.0026666666666666666,Jagodina
