realty_id,type,offer_type,square_meters,year_built,land_area,total_floors,floor,registered,heating_type,total_rooms,total_bathrooms,price,city,quarter,webpage
20920,kuca,izdavanje,550.0,,,,,,Centralno,10,2,6000.0,Beograd,Dedinje (RTV Pink),https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje-id24148/Nkakur3Az1X/
20259,kuca,izdavanje,600.0,,,,,,"Samostalno, Klima",10,8,6000.0,Beograd,Dedinje (RTV Pink),https://www.nekretnine.rs/stambeni-objekti/kuce/luksuzna-kuca-za-izdavanje-dedinje-id812422/Nk2iLxwHUFS/
16357,kuca,izdavanje,550.0,,,,,,,11,,6000.0,Beograd,Dedinje (RTV Pink),https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje-pink---odlicna-kuca-idealna-za-poslovni-prostor/Nk3D5ezfPQN/
21473,kuca,izdavanje,600.0,,,3,,,"Centralno, Samostalno",6,,6000.0,Beograd,Senjak,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-na-senjaku/NkD1cR_5aCR/
20644,kuca,izdavanje,550.0,,,,,,"Centralno, Klima",10,1,6000.0,Beograd,Dedinje (Beli dvor),https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje-lux-vila-trospratna-polunamestena-id8870/NkiVQw8PKaj/
21232,kuca,izdavanje,450.0,,,,,,"Centralno, Klima",1,1,6000.0,Beograd,Dedinje (Beli dvor),https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje-odlicna-kuca-sa-bazenom-id1255/NkjqX_p7AGl/
20743,kuca,izdavanje,600.0,,,,,,Samostalno,9,,6000.0,Beograd,Savski venac,https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje-600m2/NkAEUplnwrZ/
21668,kuca,izdavanje,700.0,,,3,,,"Centralno, Klima",5,,6000.0,Beograd,Dedinje (25. maj),https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje-700m2-poslovni-prostor-stanovanje-id-10128-1/Nk3dKNLwWei/
18563,kuca,izdavanje,600.0,2008,,,2,,,11,4,6000.0,Beograd,Savski venac,https://www.nekretnine.rs/stambeni-objekti/kuce/vila-za-izdavanje-dedinje-600m2-id2156-1/NkcOvY0Kha9-/
21238,kuca,izdavanje,600.0,,,,,,Centralno,10,,6000.0,Beograd,Dedinje (Beli dvor),https://www.nekretnine.rs/stambeni-objekti/kuce/prelepa-kuca-na-dedinju-neznanog-junaka/NkgHtZi_N2X/
20744,kuca,izdavanje,600.0,,,,,,Samostalno,9,,6000.0,Beograd,Dedinje (Beli dvor),https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje-6000e/Nkrbkr-0aYk/
21289,kuca,izdavanje,700.0,,,2,,,Centralno,11,,6000.0,Beograd,Dedinje (Beli dvor),https://www.nekretnine.rs/stambeni-objekti/kuce/fantasticna-kuca-na-dedinju/NkK0xXZrDgr/
20010,kuca,izdavanje,461.0,,,,,,Samostalno,7,5,5800.0,Beograd,Gradska bolnica,https://www.nekretnine.rs/stambeni-objekti/kuce/zvezdara-izdaje-se-lux-kuca-sa-garazom-id1084/NkS0CoxDKQf/
21890,kuca,izdavanje,461.0,,,,2,True,"Centralno, Klima",9,4,5800.0,Beograd,Lion,https://www.nekretnine.rs/stambeni-objekti/kuce/zvezdara-lion-luksuzna-vila-izdavanje/Nkv_hyXXCP0/
17207,kuca,izdavanje,500.0,,,,,True,Klima,7,,5500.0,Beograd,Senjak,https://www.nekretnine.rs/stambeni-objekti/kuce/izdaje-se-luksuzna-vila-na-senjaku-senjak/NkybeWThPjj/
17689,kuca,izdavanje,900.0,,,,2,True,Klima,15,,5400.0,Beograd,Voždovac (sve podlokacije),https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-jajinci-900m2-150/Nkz_3icVKUa/
21806,kuca,izdavanje,400.0,,,,,,Samostalno,10,6,5000.0,Beograd,Dedinje (Beli dvor),https://www.nekretnine.rs/stambeni-objekti/kuce/lux-rezidencijalna-vila-na-dedinju-id1007/NkU-mFS90kv/
18692,kuca,izdavanje,930.0,2018,,,,,,15,10,5000.0,Beograd,Ledine,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-za-staracki-dom-ili-vrtic-ledine-930m2-id2033-1/Nk2I7_McNcZ/
17762,kuca,izdavanje,360.0,,,,-1,,"Samostalno, Klima",11,7,5000.0,Beograd,Vračar (Centar),https://www.nekretnine.rs/stambeni-objekti/kuce/40817-izdavanje-kuca-kalenic-5000-eur/Nk6HO1MsItt/
18141,kuca,izdavanje,480.0,,,,,,,,,5000.0,Beograd,Dedinje (sve podlokacije),https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje-kuca-sa-dvoristem-id-3881/Nk93eBfoiA3/
18222,kuca,izdavanje,604.0,1996,,,,,,7,,5000.0,Beograd,Dedinje (RTV Pink),https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje-augusta-cesarca-kuca-sa-bazenom/NkJ-169YjbK/
20057,kuca,izdavanje,550.0,,,,,True,Samostalno,9,,5000.0,Beograd,Senjak,https://www.nekretnine.rs/stambeni-objekti/kuce/senjak-550m2-3-etaze-lux-vila/Nket5QeBFpM/
21052,kuca,izdavanje,600.0,,,,,True,"Samostalno, Klima",10,1,5000.0,Beograd,Dedinje (Beli dvor),https://www.nekretnine.rs/stambeni-objekti/kuce/u-jednoj-od-najlepsih-i-najatraktivnijih-ulica-na-dedinju-id27726/NkL0I4BftvG/
20948,kuca,izdavanje,500.0,,,,,,,1,1,4990.0,Beograd,Zemun (Centar),https://www.nekretnine.rs/stambeni-objekti/kuce/ekskluzivni-p-prostor-u-strogom-centru-zemuna-id25536/NkoSkFmCVID/
19246,kuca,izdavanje,500.0,,,,,,Klima,9,3,4950.0,Beograd,Dedinje (25. maj),https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-za-iznajmljivanje-dedinje-500m2-id-760-1/169738/
17659,kuca,izdavanje,450.0,,,,-1,,"Samostalno, Klima",7,3,4800.0,Beograd,Dedinje (RTV Pink),https://www.nekretnine.rs/stambeni-objekti/kuce/40955-izdavanje-kuca-dedinje-4800-eur/NkmFUNfDGmy/
18351,kuca,izdavanje,600.0,,,,,,,,,4500.0,Beograd,Senjak,https://www.nekretnine.rs/stambeni-objekti/kuce/ekskluzivna-vila/NkOYHZhrEHw/
18754,kuca,izdavanje,700.0,,,,-1,,Centralno,8,4,4500.0,Beograd,Centar (uži),https://www.nekretnine.rs/stambeni-objekti/kuce/38638-izdavanje-kuca-dorcol-4500-eur/1937019/
18772,kuca,izdavanje,1000.0,,,,-1,,"Samostalno, Klima",8,7,4500.0,Beograd,Zvezdara,https://www.nekretnine.rs/stambeni-objekti/kuce/28997-izdavanje-kuca-zvezdara-4500-eur/1866644/
18768,kuca,izdavanje,450.0,,,,-1,,"Samostalno, Klima",7,5,4500.0,Beograd,Zemun (Gornji grad),https://www.nekretnine.rs/stambeni-objekti/kuce/28442-izdavanje-kuca-zemun-4500-eur/1866601/
18784,kuca,izdavanje,400.0,,,,,,"Centralno, Klima",7,5,4500.0,Beograd,Lion,https://www.nekretnine.rs/stambeni-objekti/kuce/33556-izdavanje-kuca-zvezdara-4500-eur/1870230/
18014,kuca,izdavanje,604.0,,,,,True,"Centralno, Samostalno",10,,4500.0,Beograd,Dedinje (Beli dvor),https://www.nekretnine.rs/stambeni-objekti/kuce/savski-venac-dedinje-augusta-cesarca-604m2-augusta-cesarca/NkMoJD1zW_a/
16144,kuca,izdavanje,230.0,,,,-1,,"Samostalno, Klima",4,4,4500.0,Beograd,Dedinje (RTV Pink),https://www.nekretnine.rs/stambeni-objekti/kuce/25449-izdavanje-kuca-dedinje-4500-eur/Nkd9dqmNSQJ/
18436,kuca,izdavanje,450.0,,,,,,,,,4500.0,Beograd,Dedinje (Beli dvor),https://www.nekretnine.rs/stambeni-objekti/kuce/izvanredna-kuca--50-bazen-dedinje/Nke6arXiL0m/
18018,kuca,izdavanje,400.0,,,,,True,,,,4500.0,Beograd,Senjak,https://www.nekretnine.rs/stambeni-objekti/kuce/izuzetna-luksuzna-kuca-na-senjaku-za-izdavanje/NkrAvHalx4T/
18766,kuca,izdavanje,604.0,,,,-1,,"Samostalno, Klima",7,5,4500.0,Beograd,Dedinje (RTV Pink),https://www.nekretnine.rs/stambeni-objekti/kuce/30526-izdavanje-kuca-dedinje-4500-eur/1866822/
18644,kuca,izdavanje,400.0,,,,,True,"Samostalno, Klima",,,4500.0,Beograd,Dedinje (RTV Pink),https://www.nekretnine.rs/stambeni-objekti/kuce/dedinje/NkNmxSwgTEH/
