realty_id,type,offer_type,square_meters,year_built,land_area,total_floors,floor,registered,heating_type,total_rooms,total_bathrooms,price,city,quarter
1411,stan,prodaja,108.0,,,,7.0,True,Centralno,4.0,,91800.0,Beograd,Braće Jerković
1413,stan,prodaja,200.0,,,,2.0,True,Samostalno,6.0,,433000.0,Beograd,Dedinje (Beli dvor)
1414,stan,prodaja,56.0,,,,3.0,True,Samostalno,2.0,,110000.0,Beograd,Banjica
1415,stan,prodaja,100.0,,,,5.0,True,Centralno,4.0,,191000.0,Beograd,Đeram pijaca
1416,stan,prodaja,34.87,,,,,True,Samostalno,1.0,,29650.0,Beograd,Kaluđerica
1417,stan,prodaja,138.0,,,,1.0,True,"Centralno, Klima",5.0,,320000.0,Beograd,Neimar
1418,stan,prodaja,47.0,,,,7.0,True,Centralno,2.0,,79000.0,Beograd,Lion
1419,stan,prodaja,44.0,2018,,,,True,,2.0,,,Zlatibor,Centar
1435,stan,prodaja,25.0,,,,,True,,1.0,1.0,34000.0,Beograd,Mirijevo I
1437,stan,prodaja,63.0,,,2.0,2.0,True,,,,90000.0,Beograd,Zemun (Gornji grad)
1439,stan,prodaja,107.0,,,5.0,5.0,True,Centralno,4.0,2.0,153000.0,Novi Sad,Cara Dušana
1447,stan,prodaja,42.0,,,4.0,3.0,True,"Centralno, Klima",2.0,1.0,,Novi Sad,Grbavica
1448,stan,prodaja,38.0,,,7.0,5.0,True,Centralno,2.0,,85000.0,Beograd,Savski venac
1449,stan,prodaja,62.79,,,4.0,3.0,True,,2.0,1.0,43900.0,Jagodina,Centar
1456,stan,prodaja,47.0,,,,8.0,True,"Centralno, Klima",2.0,1.0,72000.0,Beograd,Šumice
1457,stan,prodaja,74.0,1939,,,2.0,True,"Centralno, Klima",3.0,1.0,149500.0,Beograd,Donji Dorćol
1459,stan,prodaja,90.0,,,,1.0,True,"Centralno, Klima",3.0,1.0,94000.0,Beograd,Konjarnik
1460,stan,prodaja,93.0,,,,5.0,True,"Centralno, Klima",3.0,2.0,230000.0,Beograd,Novi Beograd Blok 29
1461,stan,prodaja,59.0,1956,,,,True,Klima,3.0,1.0,125000.0,Beograd,Gornji Dorćol
1458,kuca,prodaja,,2019,41.0,4.0,1.0,True,"Samostalno, Klima",2.0,1.0,1200.0,Zlatibor,Palisad
1463,stan,prodaja,59.0,1956,,,,True,Klima,3.0,1.0,125000.0,Beograd,Gornji Dorćol
1468,stan,prodaja,104.0,,,6.0,5.0,True,Centralno,4.0,2.0,110000.0,Novi Sad,Adamovićevo naselje
1471,stan,prodaja,69.0,,,,7.0,True,Centralno,3.0,,99000.0,Beograd,Retenzija
1472,stan,prodaja,186.0,,,,7.0,True,"Samostalno, Klima",6.0,,375000.0,Beograd,Crveni krst
1473,stan,prodaja,79.0,,,,4.0,True,"Samostalno, Klima",4.0,,157325.0,Beograd,Crveni krst
1474,stan,prodaja,67.0,2020,,,4.0,True,"Centralno, Samostalno, Klima",3.0,,133180.0,Beograd,Banovo brdo
1475,stan,prodaja,49.0,2020,,,3.0,True,"Centralno, Klima",2.0,,97460.0,Beograd,Banovo brdo
1513,stan,prodaja,53.0,,,,3.0,True,Samostalno,2.0,1.0,81000.0,Beograd,Zemun (Meandri)
1514,stan,prodaja,125.0,,,,3.0,True,"Centralno, Klima",3.0,1.0,350000.0,Beograd,Novi Beograd Blok 65
1515,stan,prodaja,116.0,,,,,True,Samostalno,3.0,1.0,225000.0,Beograd,Zemun (Centar)
1516,stan,prodaja,102.0,,,,3.0,True,Centralno,3.0,1.0,249900.0,Beograd,Belvil
1522,stan,prodaja,88.0,,,,3.0,True,Samostalno,3.0,1.0,164000.0,Beograd,Botanička bašta
1523,stan,prodaja,83.0,,,,1.0,True,Centralno,3.0,1.0,255000.0,Beograd,Novi Beograd Blok 65
1524,stan,prodaja,74.0,,,,4.0,True,Centralno,3.0,1.0,74000.0,Beograd,Kanarevo brdo
1525,stan,prodaja,68.0,,,,4.0,True,Centralno,3.0,1.0,105000.0,Beograd,Novi Beograd Blok 21 (10. Gimnazija)
1527,stan,prodaja,154.0,,,4.0,4.0,True,Centralno,5.0,,210000.0,Beograd,Vračar (Centar)
1528,stan,prodaja,42.0,,,6.0,1.0,True,Centralno,1.0,,89000.0,Beograd,Stari Grad
1529,stan,prodaja,55.0,,,7.0,6.0,True,Centralno,2.0,,120000.0,Beograd,Banovo brdo
1530,stan,prodaja,74.0,,,7.0,5.0,True,Centralno,3.0,,185000.0,Beograd,Stari Grad
1531,stan,prodaja,41.0,2019,,6.0,1.0,True,,1.0,,45000.0,Beograd,Mirijevo IV
1533,stan,prodaja,31.0,,,5.0,,True,,,,36000.0,Beograd,Mirijevo III
1534,stan,prodaja,58.0,,,3.0,1.0,True,Klima,3.0,,75000.0,Zlatibor,Centar
1535,stan,prodaja,54.0,,,7.0,5.0,True,,3.0,,105000.0,Beograd,Palilula
1536,stan,prodaja,59.0,,,6.0,4.0,True,Samostalno,3.0,,110000.0,Beograd,Sarajevska
1537,stan,prodaja,62.0,,,4.0,4.0,True,,3.0,,92000.0,Beograd,Lekino brdo
1538,stan,prodaja,88.0,,,5.0,1.0,True,Centralno,4.0,,155000.0,Beograd,Cvijićeva
1540,stan,prodaja,91.0,1980,,,6.0,True,Centralno,3.0,,93900.0,Beograd,Braće Jerković
1542,stan,prodaja,59.0,1969,,,,True,Centralno,3.0,,87000.0,Beograd,Banovo brdo
1543,stan,prodaja,62.0,,,,7.0,True,Centralno,3.0,,112000.0,Beograd,Voždovac
1544,stan,prodaja,139.0,1970,,,1.0,True,Samostalno,5.0,,114900.0,Beograd,Voždovac
1545,stan,prodaja,39.0,,,,,True,Samostalno,2.0,,43000.0,Beograd,Julino brdo
1546,stan,prodaja,72.0,,,,4.0,True,Centralno,3.0,,179900.0,Beograd,Vračar (Hram)
1549,stan,prodaja,70.0,1976,,,1.0,True,Centralno,2.0,,145000.0,Beograd,Novi Beograd Blok 30 (B92)
1550,stan,prodaja,88.0,1994,,,4.0,True,Centralno,4.0,,165000.0,Beograd,Kalemegdan
1551,stan,prodaja,95.0,2018,,,5.0,True,Samostalno,3.0,,110000.0,Beograd,Karaburma
1552,stan,prodaja,35.0,2017,,,4.0,True,Centralno,1.0,,71000.0,Beograd,Novi Beograd Blok 72
